STATIONNAME,STATIONARRONDISSEMENT,LATITUDE,LONGITUDE,STATION_ID
Chabanel / du Parc,Ahuntsic-Cartierville,45.53830765459552,-73.6548838019371,65
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,45.58917500418707,-73.53965610265732,66
15e avenue / Laurier,Rosemont - La Petite-Patrie,45.55331992800521,-73.56932803988457,67
Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.52424701428399,-73.58166217803955,68
Lanaudière / Jean-Talon,Villeray—Saint-Michel—Parc-Extension,45.545350334193245,-73.61032962799072,69
St-Jacques / Vinet,Le Sud-Ouest,45.485328993998365,-73.57692271471024,70
Émile-Duployé / Rachel,Le Plateau-Mont-Royal,45.52970707609694,-73.56998120721983,71
René-Lévesque / Papineau,Ville-Marie,45.52097057660443,-73.5499919950962,72
Frontenac / Ste-Catherine,Ville-Marie,45.53006276144042,-73.54559183120728,73
des Érables / Rachel,Le Plateau-Mont-Royal,45.533313304815366,-73.56671154499054,74
Marché Jean-Talon (Casgrain / Shamrock),Rosemont - La Petite-Patrie,45.53519006163501,-73.61548215150833,75
des Pins / St-Laurent,Le Plateau-Mont-Royal,45.51522812881499,-73.5750961303711,76
Wellington / Queen,Ville-Marie,45.49770377469073,-73.55534417554736,77
Berri / Rachel,Le Plateau-Mont-Royal,45.52275023118295,-73.57724860310555,78
Garnier / du Mont-Royal,Le Plateau-Mont-Royal,45.53075597398246,-73.5761762317452,79
de Maisonneuve / Mansfield (sud),Ville-Marie,45.502053864057466,-73.57346534729004,80
Aylwin / Ontario,Mercier - Hochelaga-Maisonneuve,45.544290485374304,-73.54523241519928,81
du Mont-Royal / de Brébeuf,Le Plateau-Mont-Royal,45.529324317019466,-73.57792049646378,82
de la Montagne / Notre-Dame,Le Sud-Ouest,45.492913379064625,-73.5646878182888,83
Émery / St-Denis,Ville-Marie,45.51483155785108,-73.56349289417267,84
6e Avenue / Bélanger,Rosemont - La Petite-Patrie,45.554582815249745,-73.59631910920143,85
Parc Villeray (Christophe-Colomb / Jarry),Villeray—Saint-Michel—Parc-Extension,45.54851320767611,-73.62365484237671,86
Métro Viau (Pierre-de-Coubertin / Viau),Mercier - Hochelaga-Maisonneuve,45.56228814999496,-73.54622590548388,87
Masson / Molson,Rosemont - La Petite-Patrie,45.54434593245247,-73.57697686180472,88
Édouard-Montpetit / de Stirling,Côte-des-Neiges - Notre-Dame-de-Grâce,45.50737888711866,-73.61485987901688,89
Robert-Bourassa / St-Maurice,Ville-Marie,45.49837045828952,-73.56055587530136,90
Métro Peel (de Maisonneuve / Stanley),Ville-Marie,45.50038,-73.57507,91
St-Viateur / Casgrain,Le Plateau-Mont-Royal,45.52707134397896,-73.5979351401329,92
Métro Frontenac (Ontario / du Havre),Ville-Marie,45.533705987798946,-73.55217933654784,93
Workman / Vinet,Le Sud-Ouest,45.483788863965174,-73.5750612616539,94
Square Viger (Berri / Viger),Ville-Marie,45.5121682576952,-73.55481594800949,95
Métro Sauvé (Berri / Sauvé),Ahuntsic-Cartierville,45.55069206841976,-73.65636706352234,96
St-Urbain / Laurier,Le Plateau-Mont-Royal,45.52164617544124,-73.59366774559021,97
Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,45.53180536220488,-73.5975547786984,98
BAnQ (Berri),Ville-Marie,45.51601387670667,-73.56291957199574,99
Laurier / St-Denis,Le Plateau-Mont-Royal,45.5271540234837,-73.58943924307823,100
Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.5169290827898,-73.58911652441746,101
Parc Labelle (LaSalle / Henri-Duhamel),Verdun,45.47256100297732,-73.56998920440674,102
Métro Papineau (Dorion / De Maisonneuve),Ville-Marie,45.5238445756922,-73.55236601831166,103
St-Grégoire / Christophe-Colomb,Le Plateau-Mont-Royal,45.53255611409675,-73.58993947505951,104
Marché Maisonneuve (Ontario / Morgan),Mercier - Hochelaga-Maisonneuve,45.55321884238814,-73.53978216648102,105
de Marseille / de la Pépinière,Mercier - Hochelaga-Maisonneuve,45.5766515768136,-73.54069948196411,106
Métro Joliette  (Hochelaga / Joliette),Mercier - Hochelaga-Maisonneuve,45.54699194653282,-73.55115339159964,107
Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),Ville-Marie,45.51586835126322,-73.56008380651474,108
Cartier / Marie-Anne,Le Plateau-Mont-Royal,45.53280412806031,-73.57190161943436,109
Christophe-Colomb / Beaubien,Rosemont - La Petite-Patrie,45.53783932655299,-73.60115647315979,110
